team_name,firm_name,lead_name,email,members,address
Carter & Young Group,DA Davidson & Co.,,,Andrew Carter|Jeffrey Nelso|Mark Johnson|James Moore|Steven Allen|Kevin Chen,
Davis & Associates,Kingsbridge Capital Advisors,,davisp@kingsbridgecap.com,,
Thomas Private Cli3nt Group,Merrill Lynch Pierce Fenner & Smith,Matt Jones,,,"3102 Cedar Pkwy, Raleigh, NC 27601"
Miler Financia Partners,Harborview Private Wealth,Karen Mller,karen.miller@harborviewpw.com,,"9603 Elm St, Austin, TX 78701"
Miller Advisor,Parkside Wealth Strategies,"iller, Christopher",,,"2632 Lake Dr, Denver, CO 80201"
Nelson Tax & Wealth Group,Wells Fargo Advisors,"Nelson, Margaret",,,"1351 Elm St, Chicago, IL 60601"
Moris Capital Group,Woodbury Financial Services,Susan Morris,,,
Moore Group,Meridian Private Wealth,,ron.moore@meridianpw.com,,
Jones Partners,Northgate Investment Partners,,,Joseph Jones|George Rivera,
Baker Private Wealth Group,National Planning Holdings,Amanda Hill,hilla@nph.com,,
Gomez Tax & Wealth Group,Woodbury Financial Services,Karen Kh@n,,Karen Khan|Lisa Scott|Christopher Zhang|Barbara Morgan|Jason Evans|Donald Rivera,"3377 Willow St, Phoenix, AZ 85001"
Mille Retirement Solutions Group,National Planning Holdings,,,,"9572 Main Court, Raleigh, NC 27601"
Miller Tax & Wealth Gr0up,Morgan Stanley Wealth Management,,,,"3606 Market Way, St. Louis, MO 63101"
Flores Private Wealth Group,Cambridge Investment Research,Ed Baker,,,
Dais Aset Management Group,Oppenheimer & Co.,,,Anthony Stwart|Sandra Thomas|William Yang|Patricia Cruz|Nancy Johnson|John Camp6ell,"4746 River Way, San Francisco, CA 94101"
Smith Insttutional Group,Hilliard Lyons,Margaret Martin,martinm@hl.com,Margaret Martin|Edward Garcia|Joseph Moore|Betty Hill|Rnald Gomez|Richard Stewart|Christopher J0nes,"8155 Cedar Ln, Baltimore, MD 21201"
Wright Advisory Group,Hilliard Lyons,"Wright, Matthew",,Matthew Wright|Jason Hall|Paul Morris|Timothy Morga|Rachel Gomez,"9847 Lincoln Ave, Boston, MA 02101"
Patel Private Client Group,Robert W. Baird & Co.,yan Patel,patelr@rwbaird.com,,
White Institutional Goup,Commonwealth Financial Network,Lind@ Whte,whitel@commonwealth.com,,"2305 Cedar St, New York, NY 10001"
Evans Private Wealth Group,Janney Montgomery Scott,JeffreyMithell,,,"1353 Market Way, Baltimore, MD 21201"
Mitchell & Associates,Cambridge Investment Research,5teven Mitchell,,Steven Mitchell|Nancy Adams,
Adams Financial Group,Oppenheimer &,"Adams, Nancy",adamsn@opco.com,Nancy Adams|Timoth Taylor|Linda Green|Thomas Allen,
Hall Financial Partner5,Harborview Private Wealth,Hall Nacy,,Nancy Hall|Patricia Baker|Helen Zhang|Christopher Rivera|Michael Hill|Steven Hall,
Evans Instiutional Group,National Planning Holdings,,,Nancy Evan|Robert Wilson|Karen Scott,
Green Capital Group,DA Davidson & Co.,"Green, Richar",,Richard Green|Donald Diaz|Kenneth Gomez,
Jones Retirement Solutions roup,Merrill Lynch Pierce Fenner & Smith,,ron.jones@ml.com,Ronald Jones|R0bert Nelson,"5095 Spring Blvd, Chicago, IL 60601"
Thompson Welth Management Group,Cambridge Investment Research,Margaret Thompson,,Margaret Thompson|Sarah Roberts|Richard Khan|1inda Miller|Ronald Cruz,"7795 Main Pl, Washington, DC 20001"
Hall Wealth Advisors,Edward Jones,,,Rachel Roberts|1inda Turner|William Chen|Nancy Hall,
Jackson Investment Partners,Meridian Private,"Jones, Anthon",,,"4444 River Pkwy, New York, NY 10022"
Miler Wealth Management,Meridian Private Wealth,Rachel Mil1er,millerr@meridianpw.com,,
Green & Associates,Summit Peak Advisors,,,,"8946 Park Ln, San Jose, CA 95101"
Roberts Finanil Partners,Meridian Private Wealth,,,Dani3l Robrts|Amanda Zhang|Jacob Wang|Sandra Kim|Emily Reyes|Kevin Brown,"3589 Jefferson Rd, Baltimore, MD 21201"
Torres Financial Group,Cambridge Investment Research,,,Margaret Gomez|Sarah Huang|William Turner|Margaret Thompson|Matthew Johnson|Kein Torres,
Diaz Capital,Clearwater Capital Group,,susan.gomez@clearwatercap.com,,
Nelson Capital Partners,Clearwater Capital Group,,,,"9272 Madison St, Indianapolis, IN 46201"
Diaz Retirement Solutions Group,Securities America,Mike Scott,mscott@secam.com,,
Yang Asset Management Group,Janney Montgomery Scott,Thomas Wright,,Thomas Wright|Thomas Harris|Jeffrey River|Joseph Campbell|Richard Young|Jason Anderson,"6054 Maple Ln, Baltimore, MD 21201"
Martin Cap1tal Partners,Parkside Wealth Strategies,Andrew Wang,,,"1578 Cedar Pl, San Antonio, TX 78201"
Thompso Financial Group,LPL Financial,"Thompson, Anthony",,,"6790 Oak Way, San Diego, CA 92101"
Johnson Institutional Group,Hilliard Lyons,,ken.johnson@hl.com,,"670 Oak Dr, Miami, FL 33101"
Nguyen Wealth Management Group,Stifel Nicolaus & Company,,,,
King Tax &Wealth Group,Ameriprise Financial,"King, Kevin",,Kevin King|Patricia Stewart|Margaret Kim|Jennifer Collins|Sandra Liu,"6756 Oak Rd, Minneapolis, MN 55401"
Lee Capital,Parkside Wealth Strategies,"Lee, Richard",,,"4375 Maple Pl, Denver, CO 80201"
Wilson Wealth Management Group,Ameriprise Financial Services,,,Brian Wilson|Christopher Harris|Lisa Patel|Sarah Jones|Jaob Scott,
Morga Retirement Solutions Group,Cambridge Investment Research,,,,"2231 Madison Pl, Boston, MA 02101"
Hill & Jackson Advi5ors,Hilliard Lyons,,,Daniel Hill|Bian Evans|Kevin White|David Nelson|Matthew Martin|Ronald Zhang,"6282 Lake St, Miami, FL 33101"
Hill Asset Management Group,LPL Financial,Mike H1ll,,Michael Hill|Christopher Roberts|Jos3ph Smith|Timothy ampbell,"7127 Hill Blvd, Las Vegas, NV 89101"
Wang Tax & Wealth Group,Cetera Financial Group,,,,
Nguyen Capital,Crestwood Family Office,,,Linda Nguyen|Jason Cruz|Matthew Flores|Daniel Flores,"7166 Park Pkwy, Boston, MA 02101"
Johnson Investment Partners,Summit Peak Advisors,Charles Johnson,,Charles Johnson|Brian Nelson|David Smith|Patricia Wilson|Sarah Edwards|Betty Cruz|Anthony Colins,"4389 Jefferson Dr, San Antonio, TX 78201"
Green FamilyWealth 9roup,DA Davidson,,,,
Wang Capital Group,Stifel Nicolaus & Company,"Khan, Betty",,Betty Khan|Nancy Allen|Betty Parker|Karen Wilson|Helen Williams|Rachel Anderson|Daniel Morris,
Rivera & AllenAdvisors,Robert W. Baird & Co.,Christopher Rivera,chris.rivera@rwbaird.com,,
Young Tax & Wealth Group,Hilliard Lyons,,,,
Zhang Tax & Wealth Group,Raymond James Financial Services,Joseph King,,Joseph King|Steven Taylor|James Diaz,
Green Wealth,Harborview Private Wealth,"Jackson, Rachel",,Rachel Jackson|Linda Davis|Jason Huang|Chales Davis|Patricia Diaz|Jenifer Green,"8208 Jefferson Pl, New York, NY 10022"
Anderson Retiremet Solutions Group,Edward Jones,Andy Anderson,,,"2857 Market Rd, Kansas City, MO 64101"
Cruz Wealth,Northgate Investment,Linda Cruz,lcruz@northgateinv.com,,"5484 River Ave, New York, NY 10001"
Turner Wealth Partners,Commonwealth Financial Network,Dorothy Turner,,,
King Financial Partners,Kingsbridge Capital Advisors,,,Andrew King|David Hill|Steven Anderson|Donald Morgan|Betty Garcia,"1009 Maple Court, Kansas City, MO 64101"
Taylor Asset Managem3nt Group,Morgan Stanley Wealth Management,Kev Nguyen,,,"6692 Elm Ave, Dallas, TX 75201"
Chen Private Wealth,Ridgeway Wealth,Richard Hal1,rhall@ridgewaywm.com,Richard Hall|David Morris,
Anderson Asset Management Group,Hilliard Lyons,Amanda Anderson,,Amanda Anderson|Edward White|Brian Cruz|Timoty Moore|Linda Campbell,
Campbell Wealth,Kingsbridge Capital Advisors,,,,
Roberts Wealth Mana9ement Group,Cetera Financial Group,,andy.roberts@cetera.com,,
Garcia Pr1vate Client Group,Robert W.,"Garcia, Rachel",,Rachel Garcia|Betty Will1ams|David Flores,"8348 Cedar Way, New York, NY 10001"
Allen Private Wealth,Highfield Asset,"Garcia, Jacob",jacob.garcia@highfieldam.com,,
Martin & Assoc1aes,Crestwood Family,"Martin, Megan",,Megan Martin|James Taylor,
Nelson Group,Kingsbridge Capital Advisors,"Morris, Nancy",,Nancy Morris|Edward Edwards|Kenneth Garcia|Thomas Wilson|Ronald Thomas,
Davis Retirement Solutions Gr0up,Morgan Stanley Wealth Management,Mathew D@vis,,,"360 Park St, Atlanta, GA 30301"
Green Wealth Management Gr0up,Raymond James Financial Services,,,Patricia 9reen|John Huang|A5hley Gomez|Don@ld Thoms|Andrew Roberts,"2008 Elm Way, Phoenix, AZ 85001"
Brown Private Wealth,Clearwater Capital Group,Betty 6rown,,Betty Brown|Rachel Phillips|Jason Carter|Andrew Williams|Linda Hill|Lind@ Rivera|R@chel Reyes,"229 Madison Ln, Chicago, IL 60601"
Yang Retirement Solutions Group,Woodbury Financial Services,,,Christopher Jones|Sarah Carter|Brian Flores|Patricia Davis|Linda Evans|Helen Jackson,
Adams Group,Kingsbridge Capital Advisors,,,,
Parker Capital Partners,Clearwater Capital,,,,"2248 River Ln, Portland, OR 97201"
Baker & Assocates,Merrill Lynch Pierce Fenner & Smith,"Baker, Geor9e",,,
Scott & Associates,Highfield Asset Management,,,Steven Scott|Sandra Davis|Amanda White|Joseph Carter,
Martin Capital Group,Stifel Nicolaus & Company,,,Linda Martin|Ronald Huang|Barbara Phillips,
Collins Partners,Ridgeway Wealth Management,"Reyes, Jennifer",reyesj@ridgewaywm.com,,"7273 Jefferson Ave, Minneapolis, MN 55401"
Wang Capital Group,Wells Fargo Advisors,,wanga@wellsfargoadv.com,Anthony Wang|Jason Huang|Richard Moore|Brian Torres|Jennfer ee,
Zhang Advisory Group,Raymond James,,,Charles Patel|Barbara Taylor|Karen Collins|Jessica Williams,"7294 Main Dr, Indianapolis, IN 46201"
Torres & Assocites,Northgate Investment,"T0rres, Margaret",,,
Patel Institutional Group,Ameriprise Financial Services,Susan Patel,,,
Kim 1nstiutional Group,UBS Financial Services,"Young, Betty",,Betty Young|Betty Liu|Edward Edwards|Helen Huang|Kenneth Reyes,
Wang Private Wealth,Crestwood Family Office,"Scott, Paul",scottp@crestwoodfo.com,Paul Scott|Ronald Hill|Ashley Diaz|Joseph Evans,"229 Hill Court, Miami, FL 33101"
Evans Private Client Group,Edward Jones,Jim Miller,,,
Liu Capital,Crestwood Family Office,"Liu, Jeffrey",,,
Chen Private Cl1nt Group,Robert W.,,,Donald Chen|Karen Martin|George Young|Linda Young,
Scott& Liu Partn3rs,Kingsbridge Capital Advisors,Bar6ara Scott,barbara.scott@kingsbridgecap.com,Barbara Scott|James Nelson|Jennifer Harris|Jeffrey Gomez|Emily Collins|Kevin Parker|Jessica Zhang,"882 Cedar Way, Raleigh, NC 27601"
Scott ealth Partners,Woodbury Financial Services,Rich@rd Th0mpson,,,
Torres Financial Group,Edward Jones,"Evans, Rache1",,,"1705 Madison Ln, Houston, TX 77001"
Jackson Financial Group,Raymond James Financial Services,Patricia Jackson,,,
Flores Retirement Solutions Group,Commonwealth Financial Network,"Evans, James",jevans@commonwealth.com,James Evans|Thomas Collins|Barbara Huang|Susan Davis|Ronald Jackson|Michael Smith|Andrew Baker,
Williams Family Wealth Group,Ameriprise Financial Services,,,,"2669 Willow Ave, Nashville, TN 37201"
Allen Capital 9roup,Wells Fargo Advisors,Karen Alen,,Kren Allen|Rachel Flores|Michael Kim,"5068 Commerce St, Dallas, TX 75201"
Lu Investent Partners,Highfield Asset Management,,,,
Adams Tax & Wealth Group,Janney Montgomery Scott,Emily Adams,,Emily Adams|Thomas Morris|Thomas Rivera|Kevin elson|Ryan Adams|9eorge Adams|Jeffrey Anderson|Richard Zhang|M@tthew Diaz|@manda Stewart,"5634 Lincoln Way, Minneapolis, MN 55401"
King Private Wealth Group,Raymond James Financial Services,"Andeson, Donald",,Donald Anderson,
Thompson Institutional Group,Ameriprise Financial Services,,,,"1550 Washington St, Boston, MA 02101"
Campbell Advisory Group,UBS Financial Services,Emily Campell,,Emily Campbell|Daniel Johnson|Paul Patel|Anthony Harris|Timothy Chen|Rachel Adams,
Phillips & Assoiates,Merrill Lynch Pierce Fenner & Smith,,,,
Johnson Retirement Solutions Group,LPL Financial,arg@ret Johnson,,,
Anderson Wealth Partners,Janney Montgomery Scott,,,Charles Anderson|manda King|Robert Stewart|Kevin Diaz,
Colins Wealth Management Group,LPL Financial,,,Betty Parker|Joseph Brown|Anthony Nelson|Jaon Patel,"4982 Cedar Pl, Charlotte, NC 28201"
Gomez Advisors,Northgate Investment Partners,,gomezm@northgateinv.com,,"8176 Market Ln, Denver, CO 80201"
Flores Institutional Group,Commonwealth Financial Network,John Flores,,John Flores|Edward Miller|Donald Morris|Helen Diaz|Thomas Allen|Emily Flores,
Zhng Institutional Group,Ameriprise Financial,,,Daniel Flores|Donald Mitchell|Sandra Wang,"8299 Elm Pl, Philadelphia, PA 19101"
WiliamsWealth Management Group,Securities America,,ashley.williams@secam.com,,
Gomez Asset Management,Kingsbridge Capital Advisors,,,,
Liu Asset Management Goup,Securities America,,,Paul Liu|Kevin Martin|Ryan Collins|Ashley Thompson,
King Family Wealth Group,Stifel Nicolaus,,,,"3550 Spring St, San Francisco, CA 94101"
Yang Financial Group,Commonwealth Financial Network,,,,"2943 Highland Way, Indianapolis, IN 46201"
Scott Fmily Office,Ridgeway Wealth Management,"cott, Joseph",,,"9951 Lincoln Blvd, Austin, TX 78701"
Scott Adisors,Ridgeway Wealth,"Miller, Jacob",millerj@ridgewaywm.com,Jacob Miller|aul Hall|Timothy Collins|Megan Jackson|Lind Trner,
Lee Institutional Group,Morgan Stanley Wealth Management,,,,
Cruz Portfolio Group,National Planning Holdings,,,,
Zhang Advisors,Parkside Wealth Strategies,,dyang@parksidewealth.com,Daniel Yang|Ronald Cruz,
M@rtin Institutional Group,Securities America,,martina@secam.com,Amanda Marti|Edward Diaz|Michael Zhang|Sarah Green|Margaret Thompson|Joseph Cruz|Susan Nelson,
Cmp6ell Private Client Group,Commonwealth Financial Network,"A1len, David",david.allen@commonwealth.com,David Allen|Jessica Adams|Sarah Smith|Betty Thomas,
han Partners,Highfield Asset Management,,,,
Miller Parters,Kingsbridge Capital,"Yang, Karen",,,"7963 Main Pkwy, Indianapolis, IN 46201"
Lee Private Wealth,Clearwater Capital Group,Mike Lee,,MichaelLee|Ashley Morris|Richard Turner|Ashley Gomez|Joseph Garcia|Mchael Wag,"8614 Lake Ave, Minneapolis, MN 55401"
King Tax & Wealth Group,UBS Financial Services,"King, Nncy",,Nancy King|Michael Allen|Amanda Turner|5andra Jone|Richard Cruz,
Brown We@lth Partners,UBS Financial Services,"Martin, Patricia",pmartin@ubs.com,,"6349 Cedar Pkwy, Charlotte, NC 28201"
Nguyen Financial Group,Morgan Stanley Wealth Management,Kenneth Nelson,knelson@morganstanley.com,,
Yang Portfolio Group,National Planning Holdings,Matthew Yang,,Matthew Yang|Jason Evans|Ashley @nderson|Donald Wilson|Robert Brown,"2164 Market Rd, Memphis, TN 38101"
Gomez & Young Group,Raymond James Financial Services,Ken Gomez,,,
Parker Institutional Group,Cambridge Investment Research,Rachel Parker,parkerr@cambridgeinv.com,,
Baker & Associat3s,Edward Jones,,,,
Hall F@mily Wealth Group,Ameriprise Financial Services,,rhall@ampf.com,Robert Hall|Donald Baker|Jeffrey Morgan,"160 Lake Dr, Memphis, TN 38101"
Khan & Campbell Adviors,Clearwater Capital Group,"Khan, Jennifer",,,
Johnson Wealth Advisors,Merrill Lynch,Michael Wilson,,,"1987 River Way, Houston, TX 77001"
Anderson Capital Group,Robert W. Baird & Co.,Jason Anderson,,,"9185 Washington Dr, San Antonio, TX 78201"
Wri9ht Advis0rs,Summit Peak Advisors,Lisa Morris,lmorris@summitpeakadv.com,,
Mitchell Asset Management Group,Edward Jones,,,Matthew Mitchell|Rachel Thomas|Jessica Y0ung|Charles King|Donald Bown|Kevin Patel,"6231 Madison Dr, San Jose, CA 95101"
Zhang Wealth Advisors,Robert W.,"Anderson, Timothy",,,
Rivera Private Wealth,Kingsbridge Capital Advisors,,,,
Hill InstitutionalGroup,Robert W. Baird & Co.,Rachel Hill,,Rachel Hill|Ashley Huang|Donald Hill,
Green Tax & Wealth Group,Edward Jones,,ken.green@edwardjones.com,,
Adams Walth Advisors,Merrill Lynch Pierce Fenner & Smith,,aadams@ml.com,Andrew Adams|Sandra Adams|Dorothy Gree|Margaret Torres,"5860 Oak Way, San Antonio, TX 78201"
King & Mitchell Group,Summit Peak,Linda King,,Linda King|William Scott|David Young|Barbara Rivera|Jessica Diaz|David Patel|Paul Kim,"6364 Washington Way, New York, NY 10001"
Davis Private e@lth Group,Stifel Nicolaus & Company,Richard Davis,,,
Steart Asset Management,Northgate Investment Partners,,,,
Moore Retiremnt Solutions Group,Cambridge Investment Research,,,Ryan Moore|Rachel Patel|Helen Morris|Dorothy Reyes|Dorothy Wright|David King,
Green Financial Partners,Meridian Private Wealth,,greenm@meridianpw.com,,
Allen Family Wealth Group,National Planning Holdings,Thomas Allen,tom.allen@nph.com,,
Johnson Portfolio Group,Oppenheimer & Co.,,,,"627 Elm Blvd, St. Louis, MO 63101"
Nguyen Advisors,Meridian Private Wealth,,,,
Yang Wealth Partners,Ameriprise Financial,Kevin Yang,,,"1627 Cedar Court, Phoenix, AZ 85001"
Nelson Wealth Management Group,Cambridge Investment Research,,morrisj@cambridgeinv.com,,
Yang Retirement Solutions Group,Merrill Lynch Pierce Fenner & Smith,"Smith, Margaret",margaret.smith@ml.com,,
Smith Investment Group,Robert W. Baird & Co.,,,Matthew Evans|Jennifer Wang|Linda Nelson|Dorothy Roberts|Robert Stewart|Kevin Dav1s,
Diaz Tax & Wealth Group,Merrill Lynch Pierce Fenner & Smith,Andy Diaz,,Andrew Diaz|Margaret Harris,
Green Financia Group,Woodbury Financial,Jason Green,,,
Wang Capital Partners,Highfield Asset Management,"Wang, Anthony",,,"6838 Highland Ave, Raleigh, NC 27601"
Morgan Capital Group,Cambridge Investment Research,,,,"6819 Washington Rd, San Francisco, CA 94101"
3dwards Intitutional Group,Merrill Lynch Pierce Fenner & Smith,,,,
Nelson Capital Partners,Ridgeway Wealth Management,Jeff Yang,,,
Mitchell Family Weath Group,Janney Montgomery Scott,,kingm@janney.com,,
Yang & Associates,Harborview Private,Ashley Martin,,Ashley Martin|Richard Nguyen|Ashley Brown|Susan Liu|Daniel 6aker,"8821 Jefferson St, Philadelphia, PA 19101"
Brown Private Client Group,Woodbury Financial Services,,,James Brown|Matthew Garcia|John Flores,"6283 Park Dr, Raleigh, NC 27601"
Wri9ht Retirement Solutions Group,Morgan Stanley Wealth Management,,,,
Williams Family Office,Crestwood Family,,,,"8496 Spring Pl, Chicago, IL 60601"
White & Associates,Cetera Financial Group,Joseph White,,,"1834 Spring Blvd, Austin, TX 78701"
Liu Advisory Group,UBS Financial Services,Bill Liu,,,
Wil5on Private Wealth,Northgate Investment Partners,Ronald Wilson,,,
Nguyen Wealth Advisors,National Planning Holdings,,ashley.nguyen@nph.com,,
Morris Advisors,Crestwood Family Office,,,,
Kim Family Wealth Group,UBS Financial Services,,ledwards@ubs.com,,
Jackson Wealh Advi5ors,Oppenheimer & Co.,,djackson@opco.com,,"985 Lake Dr, St. Louis, MO 63101"
Thomas Wealth Management Group,Commonwealth Financial Network,Bll Thomas,,William Thomas|Anthony Harris|Barbara Garcia|Sandra Reyes|Dorothy Alle|Christopher Reyes,
Green Investment Group,Edward Jones,Don Green,,Donald Green|Matthew Thompson|Patricia Garcia|Nancy Taylor|Sandra Rivera|Sarah Turner|Matthew Yang|Thoma King|Kevin Roberts|Mark Collins|D0nald Lee,
Green Private lient Gr0up,Woodbury Financial Services,,greenj@woodburyfs.com,,"2653 Commerce St, Miami, FL 33101"
Nguyen Financial Group,LPL Financial,,snguyen@lpl.com,,"5111 River Ln, San Francisco, CA 94101"
Smith Retirement Solutions Group,Edward Jones,,,,"8303 Willow Way, Kansas City, MO 64101"
Liu Wealt Management Group,Merrill Lynch Pierce Fenner & Smith,,,,
Turner Gr0up,Harborview Private Wealth,"Turner, Linda",,,
Phillips Financial Group,Raymond James Financial Services,,,Steven Phillips|Christopher Smith|Joseph Morgan|David Diaz|imothy Wang|Nancy Hill|Timothy Gomez,
Campbell Advisors,Highfield Asset Management,,,,
Turner Prtfolio Group,Merrill Lynch Pierce Fenner & Smith,Rick Turner,turnerr@ml.com,,
Flore Institutional Group,Cetera Financial Group,,,,"4824 Madison Blvd, Kansas City, MO 64101"
Davis Financ@l Group,LPL Financial,Barbara Davis,,Barbaa Davis|Daiel Khan|Ryan Thomas|Steven Yang|Margaret Adams|Kevin Wang|Amanda Miller,
Taylor Wealth,Meridian Private Wealth,,,Kevin Taylor|John Gomez|Donald Baker|Linda Cruz,
Smith Partners,Northgate Investment Partners,Richard Smith,,,
Nguyen Portfolio Group,Cambridge Investment Research,Rachel Allen,rallen@cambridgeinv.com,,"8620 Hill Way, Raleigh, NC 27601"
Lee Wealth Mana9ement Group,Oppenheimer & Co.,"Le, S@rah",,,
Reyes Capital,Harborview Private Wealth,,,,
Turnr Reirement Solutions Group,Edward Jones,Jim Turner,,,"5378 Willow St, New York, NY 10001"
Parker Reirement Solutions Group,Cetera Financial Group,,,Margaret Miller|Susan Liu|Tim0thy Rivera|Robert Wilson|Linda Patel|Megan Rivera,"1745 Lincoln Rd, Kansas City, MO 64101"
Chen Institutional Group,Merrill Lynch Pierce Fenner & Smith,,lcollins@ml.com,Linda Collins|Patricia Parker|Barbara Baker|Mark Garcia,"9090 Jefferson Blvd, Boston, MA 02101"
Harris Advisory Group,Securities America,Do Hrris,,Donald Harris|John Taylor|Sarah Yang|Nancy Morgan|Paul White|Jason Martin|George Baer,"2892 Maple Ave, Raleigh, NC 27601"
Davis & Associates,Highfield Asset,,,John Zhang|Mark Kim|Emily Morgan|Megan Jnes|Brian Wright|Nancy Wang|Margaret Nelson,"2324 Highland Way, St. Louis, MO 63101"
Stewart Group,Harborview Private,,,,"6352 Highland Ln, Memphis, TN 38101"
Wright Family Wealth 9roup,Wells Fargo Advisors,,,,
Brown Portfolio Group,Morgan Stanley Wealth Management,,,Kenneth Brown|Edward Kim|Thomas Campbell|George Phillips,"8875 Lincoln Ln, Philadelphia, PA 19101"
Miller Asset Management Goup,National Planning Holdings,"Miller, Mark",,,"250 Jefferson Pl, Nashville, TN 37201"
Stewart Intitutional Group,Janney Montgomery Scott,Charles Stewart,,Charles Stewart|Jos3ph Thompson|Timothy Rob3rts|Patricia Turner|Anhony Hal1|Andre Collins|Nacy Brown,
Moore Group,Summit Peak Advisors,George Adas,,,
Wang Capital,Clearwater Capital Group,"Wang, G3orge",,George Wang|Lisa Morris|William Campbell|Jason Young|Jennifer Davis|Emily Miller|George Lee,"453 Lincoln Pl, Nashville, TN 37201"
Kim Advisory Group,Janney Montgomery Scott,Ron Kim,,,"9078 Cedar Blvd, Charlotte, NC 28201"
Young Capital,Harborview Private,"Young, P@tricia",,Patricia Young|Richard Cruz|Charle5 Nguyen|Sandra Cruz|Christopher Kim|Michael Miller,
Anderson Wealth Management Goup,Hilliard Lyons,Karen Miller,,,
Harris Asset Management Group,UBS Financial Services,"Harris, Joseph",,,"8105 Washington Ln, Dallas, TX 75201"
Garcia Private Wealth Group,Wells Fargo,,,,
Green Investment Partners,Kingsbridge Capital,Brian Huang,bhuang@kingsbridgecap.com,Brian Huang|Daniel Hill|Betty Carter|Jessica Patel|Helen Scott|Kevin Adams,
Chen & Ass0ciates,Merrill Lynch Pierce Fenner & Smith,,,Susan Chen|Daniel Huang,"8930 Cedar Dr, Atlanta, GA 30301"
Anderson Wealth Management Group,Woodbury Financial Services,Mark Jones,jonesm@woodburyfs.com,,
Torres Wealth Advisors,Cambridge Investment Research,,,,
Phillips & WilsonAdvisors,Parkside Wealth Strategies,Lisa Pillips,,,"8465 Cedar St, Philadelphia, PA 19101"
Jackson Portfolio Group,Woodbury Financial Services,Helen ackson,,,"5982 Elm Pkwy, San Diego, CA 92101"
Moore Capital Group,Cetera Financial Group,"Moore, Ronald",,,"3438 Hill Dr, Los Angeles, CA 90001"
Harris Private Wea1th Group,Morgan Stanley Wealth Management,,,Megan Harris|William Wright|Kevin Garcia|Karen Wan|Jennifer Morgan,"4525 Highland Ave, Chicago, IL 60601"
Huang Private Client Group,Robert W. Baird & Co.,,jessica.thomas@rwbaird.com,,
Liu Wealth Partners,Cambridge Investment Research,,,,
Scott Private Client Group,DA Davidson,Dan Scott,,Dniel Scott|James Cruz,
Nguyen Portfolio Group,Raymond James Financial Services,Charles Nguyen,,,
Green Wealth Advisors,Janney Montgomery Scott,,,Paul Green|David Turner|David Jones|J@son Harris,"3848 Maple Rd, Dallas, TX 75201"
Roberts Tax & Wealth Group,Merrill Lynch Pierce Fenner & Smith,Christopher Roberts,robertsc@ml.com,,"1485 River Court, Kansas City, MO 64101"
Wilson Financial Group,Cambridge Investment,,,,
Parker Tax & Wealth Group,Stifel Nicolaus & Company,Jeffrey Parker,,,
Anderson Wealth,Highfield Asset Management,"Youn, Patricia",,Patricia Young,"6113 Elm Court, Miami, FL 33101"
Torre Private W3alth Group,DA Davidson & Co.,,,,
Martin Advisory Gr0up,Commonwealth Financial Network,Dorothy T@ylor,,,"136 Lincoln Dr, Kansas City, MO 64101"
Thoms Private Wealth Group,Cetera Financial Group,,,,"8768 Elm Ln, Denver, CO 80201"
Torres Aset Management Group,Hilliard Lyons,Kenneth Torr3s,,,
Wil5on Asset Management 9roup,Janney Montgomery Scott,,,Edward Collins|Patricia Parker,"6998 Spring St, Kansas City, MO 64101"
Carter Financial Goup,Cetera Financial Group,,,Donald Wilson|Nancy Wilson|Joseph Miller|John Wilon|Charles Scott|Barbara Sith|Jacob Cruz|Edward Wang|Dorothy Gr3en,
Cruz Retir3ment Solutions Group,Stifel Nicolaus & Company,Mike Cru,,,"5705 Main Ln, Indianapolis, IN 46201"
Rivera Investment Group,Raymond James Financial Services,Jason Rivera,,Jason Rivera|George Lee,
Patel Private Client Group,Commonwealth Financial Network,"Alln, Dorothy",,,
Green Partners,Parkside Wealth,Margaret Liu,,,"3370 Oak Ln, Los Angeles, CA 90001"
Rivera Asset Management Group,Commonwealth Financial Network,Barbara Campbell,,,
Brown Institutional Group,UBS Financial,Jim Brown,,,
Cruz Asset Management,Ridgeway Wealth,James Cruz,cruzj@ridgewaywm.com,,"2234 Willow Pl, San Jose, CA 95101"
Wilson & Associates,Highfield Asset Management,,wilsonr@highfieldam.com,,"9960 Oak Pkwy, Chicago, IL 60601"
Mitchell Group,Northgate Investment Partners,,khanm@northgateinv.com,Megan Khan|Steven Yang|Ryan Zhang|Karen Adams|Joseph Wang|Timothy Hill,
Baker Asset Management Group,Cetera Financial Group,William Baker,bill.baker@cetera.com,,"8681 Market St, St. Louis, MO 63101"
Thomas Group,Summit Peak,,,,"6612 Highland Court, Seattle, WA 98101"
Nguyen Asset Management Group,Securities America,"Nguyen, Jacob",,Jacob Nguyen|Rachel Edwards|James 1iu,"4548 Washington St, Philadelphia, PA 19101"
Nelson Asse Management,Parkside Wealth Strategies,,adamsr@parksidewealth.com,,
Williams Institutional Group,Stifel Nicolaus & Company,Andy Williams,,,"2527 Hill Blvd, Portland, OR 97201"
Mitcell Wealth,Clearwater Capital,,,,
Young Capital Group,Cetera Financial Group,,,,"1038 Main Pl, Memphis, TN 38101"
Gomez Wealth,Northgate Investment Partners,,cruzm@northgateinv.com,Megan Cruz|Paul Jackson|Ryan Hill,
