team_name,firm_name,lead_name,email,members,address
Tax & Wlth Grp,Hilliard Lyons,Jeff Reyes,jeff.reyes@hl.com,,"4412 Hill Court, Las Vegas, NV 89101"
Zhang Tax & Wlth Grp,Raymond James Financial Services,,,Joe King|Steve Taylor|Jim Diaz,"7308 Park Blvd, New York, NY 10022"
Green Wlth,Harborview Private Wealth,Rachel Jackson,,,
Anderson Retirement Solutions Grp,Edward Jones,,,Andy Anderson|Rachel Jackson|Rachel Smith,"2857 Market Rd, Kansas City, MO 64101"
Cruz Wlth,Northgate Investment Partners,"Thompson, John",jthompson@northgateinv.com,,
Turner Wlth Ptnrs,Commonwealth Financial Network,Ed Hall,halle@commonwealth.com,Ed Hall|Amanda Adams|Sarah Reyes|Emily Wilson|Tony Huang|Jessica Adams|Charles Williams,"9835 Main Pl, Baltimore, MD 21201"
King Fin Ptnrs,Kingsbridge Capital Advisors,,,,"1009 Maple Court, Kansas City, MO 64101"
Taylor Asset Mgmt Grp,Morgan Stanley Wealth Management,Kev Nguyen,kev.nguyen@morganstanley.com,Kev Nguyen|Jeff Khan|Ken Yang|Ed Phillips|Tom Scott|John Campbell,"6692 Elm Ave, Dallas, TX 75201"
Chen Private Wlth,Ridgeway Wealth Management,Rick Hall,,Rick Hall|David Morris,"8499 Commerce Way, Philadelphia, PA 19101"
Anderson Asset Mgmt Grp,Hilliard Lyons,,,,"7079 Oak Court, Los Angeles, CA 90001"
Roberts & Associates,Cetera Financial Group,"Roberts, Andy",andy.roberts@cetera.com,Andy Roberts|Margaret Miller|Dorothy Parker|Jason Roberts|Steve Scott,"9127 Oak Court, Los Angeles, CA 90001"
Garcia Private Client Grp,Robert W. Baird & Co.,"Kim, Megan",megan.kim@rwbaird.com,Megan Kim|Betty Williams|David Flores,
Allen Private Wlth,Highfield Asset Management,,,,
Martin & Associates,Crestwood Family Office,"Martin, Megan",megan.martin@crestwoodfo.com,,
Nelson Grp,Kingsbridge Capital Advisors,,morrisn@kingsbridgecap.com,Nancy Morris|Ed Edwards|Ken Garcia|Tom Wilson|Ron Thomas,"6737 Commerce Rd, Boston, MA 02101"
Davis Retirement Solutions Grp,Morgan Stanley Wealth Management,,,Amanda Patel|Charles Diaz|Don Green|Kev Zhang|Jessica Thomas|David Allen|Jacob Nelson,"360 Park St, Atlanta, GA 30301"
Green Wlth Mgmt Grp,Raymond James Financial Services,,,Patricia Patel|John Huang|Don Thomas|Andy Roberts,"2008 Elm Way, Phoenix, AZ 85001"
Brown Private Wlth,Clearwater Capital Group,Brian King,,,
Yang Retirement Solutions Grp,Woodbury Financial Services,,,,"8093 Oak Court, San Antonio, TX 78201"
& Moore Adv,Kingsbridge Capital Advisors,,,,"7247 Washington Rd, New York, NY 10001"
Parker Cap Ptnrs,Clearwater Capital Group,,chris.zhang@clearwatercap.com,,
Baker & Associates,Merrill Lynch Pierce Fenner & Smith,"Baker, George",gbaker@ml.com,George Baker|Linda Allen|Don Jackson|Helen Brown|John Scott,"2939 Washington Pkwy, Philadelphia, PA 19101"
Scott & Associates,Highfield Asset Management,"Hall, John",hallj@highfieldam.com,,
Martin Cap Grp,Stifel Nicolaus & Company,,steve.white@stifel.com,,
Collins Ptnrs,Ridgeway Wealth Management,,,Jennifer Reyes|Amanda Patel|Helen Williams|Barbara Miller|Chris Turner,
Wang Cap Grp,Wells Fargo Advisors,,zhangr@wellsfargoadv.com,,
Zhang Adv Grp,Raymond James Financial Services,,charles.patel@raymondjames.com,Charles Patel|Barbara Taylor|Karen Collins|Jessica Williams,
Torres Family Office,Northgate Investment Partners,"Torres, Margaret",,,"4121 Market Ln, Houston, TX 77001"
Patel & Turner Ptnrs,Ameriprise Financial Services,"Patel, Susan",patels@ampf.com,Susan Patel|Susan Jones|David Wright|Sarah Hill|Jacob Taylor|Sandra Brown|Betty Morris,"6027 Jefferson Blvd, New York, NY 10001"
Kim Institutional Grp,UBS Financial Services,Betty Young,,Betty Young|Betty Liu|Ed Edwards|Helen Huang|Ken Reyes,"2573 Oak Court, Portland, OR 97201"
Wang Private Wlth,Crestwood Family Office,,,Paul Scott|Ron Hill|Ashley Diaz|Joe Evans,
Evans Private Client Grp,Edward Jones,"Miller, Jim",,Jim Miller|Brian Brown,"7344 Willow Ln, Atlanta, GA 30301"
Liu Cap,Crestwood Family Office,"Liu, Jeff",,Jeff Liu|Ken Campbell|Jennifer Morris|Kev Taylor|Jessica Gomez|Mark Williams,"8627 River Dr, Nashville, TN 37201"
Chen Private Client Grp,Robert W. Baird & Co.,"Chen, Don",,Don Chen|Karen Martin,"5079 Madison Court, Kansas City, MO 64101"
Scott & Liu Ptnrs,Kingsbridge Capital Advisors,,barbara.scott@kingsbridgecap.com,Barbara Scott|Jim Nelson|Jennifer Harris|Jeff Gomez|Emily Collins|Kev Parker|Jessica Zhang,"882 Cedar Way, Raleigh, NC 27601"
Scott Wlth Ptnrs,Woodbury Financial Services,Rick Thompson,rick.thompson@woodburyfs.com,,"4761 Elm Ln, Baltimore, MD 21201"
Torres Fin Grp,Edward Jones,Rachel Evans,,Rachel Evans|Sandra Liu|Mark Evans,"1705 Madison Ln, Houston, TX 77001"
Jackson Fin Grp,Raymond James Financial Services,"Gomez, Tom",,,"1379 Market Ln, Austin, TX 78701"
Flores Retirement Solutions Grp,Commonwealth Financial Network,"Evans, Jim",,Jim Evans|Tom Collins|Barbara Huang|Susan Davis|Ron Jackson|Mike Smith|Andy Baker,
Williams Family Wlth Grp,Ameriprise Financial Services,,megan.adams@ampf.com,Megan Adams|Joe Davis|Karen Roberts|Andy Williams|Susan Moore|Rachel King|Dorothy Anderson,"2669 Willow Ave, Nashville, TN 37201"
Allen Cap Grp,Wells Fargo Advisors,John Chen,chenj@wellsfargoadv.com,,"5068 Commerce St, Dallas, TX 75201"
Liu Inv Ptnrs,Highfield Asset Management,,,Patricia Patel|Bill Huang|Bob Flores|Patricia Roberts|Bob Huang,"3632 Commerce St, Phoenix, AZ 85001"
Adams Tax & Wlth Grp,Janney Montgomery Scott,Emily Adams,,Emily Adams|Tom Morris|Tom Rivera|Kev Nelson|Ryan Adams|George Adams|Jeff Anderson|Rick Zhang|Matt Diaz|Amanda Stewart,"5634 Lincoln Way, Minneapolis, MN 55401"
King Private Wlth Grp,Raymond James Financial Services,,don.anderson@raymondjames.com,,
Thompson Institutional Grp,Ameriprise Financial Services,Barbara Kim,kimb@ampf.com,Barbara Kim|Ken Carter|Brian Carter|David Thomas|Emily Morris|George Flores,
Campbell Adv Grp,UBS Financial Services,,,Joe Morgan|Dan Johnson|Paul Patel|Tony Harris|Tim Chen|Tom Campbell|Barbara Mitchell,"7896 Main Ave, Denver, CO 80201"
Phillips & Associates,Merrill Lynch Pierce Fenner & Smith,Jessica Phillips,,Jessica Phillips|Jennifer Green,"6683 Oak Way, Washington, DC 20001"
Retirement Solutions Grp,LPL Financial,"Wang, Ashley",,,"8749 Lincoln Rd, San Jose, CA 95101"
Anderson Wlth Ptnrs,Janney Montgomery Scott,,andersonc@janney.com,Charles Anderson|Amanda King,"1568 River Ln, Houston, TX 77001"
Collins Wlth Mgmt Grp,LPL Financial,Betty Parker,,,"4982 Cedar Pl, Charlotte, NC 28201"
Gomez Adv,Northgate Investment Partners,Brian Morris,,Brian Morris|Mike King|Dorothy Carter|Margaret Jones|Sandra Edwards|Patricia White,
Flores Institutional Grp,Commonwealth Financial Network,"Flores, John",jflores@commonwealth.com,,
Zhang Institutional Grp,Ameriprise Financial Services,Dan Flores,dflores@ampf.com,,"8299 Elm Pl, Philadelphia, PA 19101"
Williams Wlth Mgmt Grp,Securities America,Don Morgan,,Don Morgan|Paul Phillips|Steve Chen|Lisa Chen,"7712 River Blvd, Miami, FL 33101"
Gomez Asset Mgmt,Kingsbridge Capital Advisors,"Allen, Dorothy",dorothy.allen@kingsbridgecap.com,Dorothy Allen|David Hill|Ron Davis|Kev Huang,
Liu & Associates,Securities America,Paul Liu,,Paul Liu|Kev Martin|Ryan Collins|Ashley Thompson,"3554 Market Pl, Las Vegas, NV 89101"
King Family Wlth Grp,Stifel Nicolaus & Company,,,,"3550 Spring St, San Francisco, CA 94101"
Yang Fin Grp,Commonwealth Financial Network,Jim Yang,yangj@commonwealth.com,,"2943 Highland Way, Indianapolis, IN 46201"
Scott Family Office,Ridgeway Wealth Management,Ashley Zhang,,,"9951 Lincoln Blvd, Austin, TX 78701"
Scott Adv,Ridgeway Wealth Management,,,,"1574 River Dr, Miami, FL 33101"
Lee Institutional Grp,Morgan Stanley Wealth Management,,,,"6589 Hill Pkwy, Chicago, IL 60601"
Cruz Portfolio Grp,National Planning Holdings,,,Steve Thompson|Tom Martin,
Zhang Adv,Parkside Wealth Strategies,"Yang, Dan",dyang@parksidewealth.com,Dan Yang|Ron Cruz,
Martin Institutional Grp,Securities America,Linda Thomas,lthomas@secam.com,,"9276 Jefferson St, Portland, OR 97201"
Campbell Private Client Grp,Commonwealth Financial Network,,david.allen@commonwealth.com,David Allen|Jessica Adams|Sarah Smith|Betty Thomas,"812 Lake St, Portland, OR 97201"
Khan Ptnrs,Highfield Asset Management,Emily Khan,,,"3796 Madison Ave, Atlanta, GA 30301"
Miller Ptnrs,Kingsbridge Capital Advisors,Karen Yang,karen.yang@kingsbridgecap.com,Karen Yang|Steve Harris|Rick Baker|Don Wright|Susan Flores,"7963 Main Pkwy, Indianapolis, IN 46201"
Lee Private Wlth,Clearwater Capital Group,,lturner@clearwatercap.com,Linda Turner|Ashley Morris|Rick Turner|Mike Wang|Bob Flores|Nancy Wright,
Tax & Wlth Grp,UBS Financial Services,Nancy King,,Nancy King|Mike Allen,"1165 Elm St, Minneapolis, MN 55401"
Brown Wlth Ptnrs,UBS Financial Services,"Martin, Patricia",,,"6349 Cedar Pkwy, Charlotte, NC 28201"
Nguyen Fin Grp,Morgan Stanley Wealth Management,Ken Nelson,knelson@morganstanley.com,Ken Nelson|John Nelson|Susan Wright|Rachel Thomas|Rick Miller|Jim Phillips|Tim Jones|Betty Miller,
Yang Portfolio Grp,National Planning Holdings,,,,"2164 Market Rd, Memphis, TN 38101"
Gomez & Young Grp,Raymond James Financial Services,"Gomez, Ken",,,
Parker Institutional Grp,Cambridge Investment Research,Brian Harris,,Brian Harris|Mike Green|Lisa Thomas|Matt Patel|Bill Wright,
Baker & Associates,Edward Jones,George Baker,,,"7757 Spring Pkwy, Las Vegas, NV 89101"
Hall Family Wlth Grp,Ameriprise Financial Services,"Hall, Bob",,,
Khan & Campbell Adv,Clearwater Capital Group,Jennifer Khan,,,"6258 Lincoln Blvd, Philadelphia, PA 19101"
Johnson Wlth Adv,Merrill Lynch Pierce Fenner & Smith,Mike Wilson,,Mike Wilson|Ryan Torres|Andy Anderson|Paul Smith|Andy Yang,
Anderson Asset Mgmt Grp,Robert W. Baird & Co.,,,,"9185 Washington Dr, San Antonio, TX 78201"
Wright Adv,Summit Peak Advisors,Lisa Morris,,,"5098 Lake Pl, San Francisco, CA 94101"
Mitchell Cap Grp,Edward Jones,Matt Mitchell,mitchellm@edwardjones.com,Matt Mitchell|Rachel Thomas|Jessica Young|Charles King|Don Brown|Kev Patel,"6231 Madison Dr, San Jose, CA 95101"
Zhang Wlth Adv,Robert W. Baird & Co.,Tim Anderson,,Tim Anderson|George Evans|Amanda Edwards|Rick Wilson,"9669 Commerce Dr, Portland, OR 97201"
Rivera Private Wlth,Kingsbridge Capital Advisors,"Thompson, Rick",,,"8268 Jefferson Blvd, Denver, CO 80201"
Hill Institutional Grp,Robert W. Baird & Co.,"Hill, Ryan",,,
Green Tax & Wlth Grp,Edward Jones,Dan Chen,dchen@edwardjones.com,Dan Chen|Tom Morris,
Adams Wlth Adv,Merrill Lynch Pierce Fenner & Smith,"Martin, Bob",martinr@ml.com,Bob Martin|Sandra Adams|Dorothy Green|Margaret Torres|Betty Taylor|Matt Roberts,
King & Mitchell Grp,Summit Peak Advisors,Linda King,,Linda King|Bill Scott|David Young|Barbara Rivera|Jessica Diaz|David Patel|Paul Kim,"6364 Washington Way, New York, NY 10001"
Davis Private Wlth Grp,Stifel Nicolaus & Company,Rick Davis,,,
Stewart Asset Mgmt,Northgate Investment Partners,Bob Scott,bob.scott@northgateinv.com,Bob Scott|Brian Smith,
Retirement Solutions Grp,Cambridge Investment Research,Rick Kim,,,
Green Fin Ptnrs,Meridian Private Wealth,Matt Green,,Matt Green|Karen Wilson,
Family Wlth Grp,National Planning Holdings,,wrightj@nph.com,,
Johnson Portfolio Grp,Oppenheimer & Co.,,,,
Nguyen Adv,Meridian Private Wealth,Ed Harris,,Ed Harris|Jennifer Roberts|Jeff Harris,
Yang Wlth Ptnrs,Ameriprise Financial Services,"Cruz, Tom",tom.cruz@ampf.com,Tom Cruz|Megan Hall|John Anderson|Tony White|Andy Parker|Dorothy Scott,"1627 Cedar Court, Phoenix, AZ 85001"
Nelson Wlth Mgmt Grp,Cambridge Investment Research,"Morris, Jessica",,,
Retirement Solutions Grp,Merrill Lynch Pierce Fenner & Smith,,,,
Smith Inv Grp,Robert W. Baird & Co.,,,Matt Evans|Jennifer Wang|Linda Nelson|Dorothy Roberts|Bob Stewart|Kev Davis,
Diaz Tax & Wlth Grp,Merrill Lynch Pierce Fenner & Smith,Andy Diaz,adiaz@ml.com,,"7576 River Ln, Austin, TX 78701"
& Allen Adv,Woodbury Financial Services,Jason Green,jason.green@woodburyfs.com,Jason Green|Bob Harris|Chris Thompson|Kev Mitchell|Andy Parker|Bill Edwards|Jason Reyes,"6402 Washington Pkwy, St. Louis, MO 63101"
Wang Cap Ptnrs,Highfield Asset Management,Ron Flores,,Ron Flores|Ryan Miller,
Morgan Fin Grp,Cambridge Investment Research,"Morgan, Jacob",,,
Edwards Institutional Grp,Merrill Lynch Pierce Fenner & Smith,,,,"7667 Spring Ln, Charlotte, NC 28201"
Nelson Cap Ptnrs,Ridgeway Wealth Management,,jyang@ridgewaywm.com,,"7658 Maple Court, Los Angeles, CA 90001"
Mitchell Family Wlth Grp,Janney Montgomery Scott,Mark King,kingm@janney.com,,
Yang & Associates,Harborview Private Wealth,Ashley Martin,martina@harborviewpw.com,,
Wright & Associates,Morgan Stanley Wealth Management,Jim Wright,wrightj@morganstanley.com,,"3248 Maple Dr, Baltimore, MD 21201"
Williams Family Office,Crestwood Family Office,"Williams, Chris",cwilliams@crestwoodfo.com,,"8496 Spring Pl, Chicago, IL 60601"
White & Associates,Cetera Financial Group,Joe White,joe.white@cetera.com,Joe White|Sarah Smith|Nancy Jackson|Dorothy White|Bill Parker|Paul Diaz|Amanda Torres,"1834 Spring Blvd, Austin, TX 78701"
Liu Adv Grp,UBS Financial Services,,,,"6835 Commerce Ave, Dallas, TX 75201"
Wilson Family Office,Northgate Investment Partners,,,Ron Wilson|Megan Wang,"2972 Spring Way, Memphis, TN 38101"
Nguyen Wlth Adv,National Planning Holdings,Ryan Carter,,Ryan Carter|Ken Harris|Mark Baker,
Morris Adv,Crestwood Family Office,"King, Charles",cking@crestwoodfo.com,Charles King|Charles Nguyen|Tony Diaz|Brian Wilson,"1400 Elm Pl, New York, NY 10022"
Family Wlth Grp,UBS Financial Services,"Edwards, Linda",ledwards@ubs.com,Linda Edwards|Ryan Williams|Susan Patel|Andy Morris|John White|Jason Wright|George Rivera,"9898 Spring Blvd, San Francisco, CA 94101"
Jackson & Associates,Oppenheimer & Co.,Don Jackson,,,"985 Lake Dr, St. Louis, MO 63101"
Thomas Wlth Mgmt Grp,Commonwealth Financial Network,Jessica Hill,hillj@commonwealth.com,,
Green Inv Grp,Edward Jones,"Green, Don",dgreen@edwardjones.com,Don Green|Matt Thompson|Patricia Garcia|Nancy Taylor|Sandra Rivera|Sarah Turner|Matt Yang|Tom King|Kev Roberts|Mark Collins|Don Lee,"4179 River Pkwy, Dallas, TX 75201"
Green Private Client Grp,Woodbury Financial Services,Sandra Wang,wangs@woodburyfs.com,Sandra Wang|David Morris|Ken Phillips|Helen Reyes|Joe Cruz,"2653 Commerce St, Miami, FL 33101"
Nguyen Fin Grp,LPL Financial,Mark Patel,,Mark Patel|Bill Wright|Patricia Thomas|John Jones|Susan Kim,"5111 River Ln, San Francisco, CA 94101"
Smith Retirement Solutions Grp,Edward Jones,"Morris, Jim",morrisj@edwardjones.com,,
Liu Wlth Mgmt Grp,Merrill Lynch Pierce Fenner & Smith,Susan Wright,wrights@ml.com,,"2139 Washington Dr, Charlotte, NC 28201"
Turner Grp,Harborview Private Wealth,,,Chris Torres|Don Harris|Patricia Williams|Karen Turner|George Diaz|Bob Adams,
Phillips Fin Grp,Raymond James Financial Services,,,Steve Miller|David Diaz|Tim Wang|Nancy Hill|Tim Gomez|Matt Johnson,"2514 Lake Pkwy, San Diego, CA 92101"
Campbell Adv,Highfield Asset Management,"Zhang, Jacob",jacob.zhang@highfieldam.com,,"7029 Madison Rd, Phoenix, AZ 85001"
Turner Portfolio Grp,Merrill Lynch Pierce Fenner & Smith,,,Rick Turner|Betty Edwards|Ken Smith,
Flores & Associates,Cetera Financial Group,Susan Flores,,Susan Flores|Tim Wilson|Matt Hall,
Davis Cap Grp,LPL Financial,,,,"9391 Park Blvd, Miami, FL 33101"
Smith Ptnrs,Northgate Investment Partners,"Thomas, Rick",rick.thomas@northgateinv.com,,
Nguyen Portfolio Grp,Cambridge Investment Research,,rallen@cambridgeinv.com,Rachel Allen|Megan Green|Ron Khan|Steve Wright,"8620 Hill Way, Raleigh, NC 27601"
Lee Wlth Mgmt Grp,Oppenheimer & Co.,,,,"6018 Lincoln Ln, Baltimore, MD 21201"
Reyes Cap,Harborview Private Wealth,"Rivera, Rick",rrivera@harborviewpw.com,,"520 Cedar Court, Las Vegas, NV 89101"
Turner Retirement Solutions Grp,Edward Jones,Jim Turner,,,"5378 Willow St, New York, NY 10001"
Parker Retirement Solutions Grp,Cetera Financial Group,Margaret Miller,,Margaret Miller|Susan Liu|Tim Rivera|Bob Wilson|Linda Patel|Megan Rivera,
Chen Institutional Grp,Merrill Lynch Pierce Fenner & Smith,Linda Collins,lcollins@ml.com,Linda Collins|Patricia Parker|Barbara Baker|Mark Garcia,
Harris Adv Grp,Securities America,Helen Campbell,helen.campbell@secam.com,,
Davis & Associates,Highfield Asset Management,John Zhang,jzhang@highfieldam.com,John Zhang|Mark Kim|Emily Morgan|Megan Jones|Brian Wright|Nancy Wang|Margaret Nelson,
Stewart Grp,Harborview Private Wealth,Andy Evans,,Andy Evans|Steve Davis,
Family Wlth Grp,Wells Fargo Advisors,,,,
Brown Portfolio Grp,Morgan Stanley Wealth Management,,,,"8875 Lincoln Ln, Philadelphia, PA 19101"
Miller Asset Mgmt Grp,National Planning Holdings,,,,"250 Jefferson Pl, Nashville, TN 37201"
Stewart Institutional Grp,Janney Montgomery Scott,,rthompson@janney.com,Rick Thompson|Joe Thompson|Tim Roberts|Tony Hall|Andy Collins|Nancy Brown,
Moore Grp,Summit Peak Advisors,George Adams,,,"3550 Lake St, Boston, MA 02101"
Wang Cap,Clearwater Capital Group,George Wang,gwang@clearwatercap.com,George Wang|Lisa Morris|Bill Campbell|Jason Young|Jennifer Davis|Emily Miller|George Lee,"453 Lincoln Pl, Nashville, TN 37201"
Kim Adv Grp,Janney Montgomery Scott,,,,
Young Cap,Harborview Private Wealth,,,Jim Evans|Charles Nguyen,"3536 Park St, Philadelphia, PA 19101"
Anderson Wlth Mgmt Grp,Hilliard Lyons,,millerk@hl.com,,"2022 Spring Pkwy, Denver, CO 80201"
Asset Mgmt Grp,UBS Financial Services,,,,"8105 Washington Ln, Dallas, TX 75201"
Garcia Private Wlth Grp,Wells Fargo Advisors,"Garcia, Joe",joe.garcia@wellsfargoadv.com,,
Green Inv Ptnrs,Kingsbridge Capital Advisors,"Huang, Brian",,,"9462 Cedar Pl, Houston, TX 77001"
Chen & Associates,Merrill Lynch Pierce Fenner & Smith,"Chen, Susan",,Susan Chen|Dan Huang,"8930 Cedar Dr, Atlanta, GA 30301"
Anderson Wlth Mgmt Grp,Woodbury Financial Services,,,Mark Jones|Tony Diaz|Chris Garcia|Helen Martin|Ryan Williams|David Davis|Ashley Evans|George Smith,"9188 Spring Ave, San Francisco, CA 94101"
Torres Wlth Adv,Cambridge Investment Research,Don Brown,dbrown@cambridgeinv.com,Don Brown|Andy Parker|Jessica Adams|Tom Roberts|Linda Edwards|Nancy Edwards|Andy Chen,
Phillips & Wilson Adv,Parkside Wealth Strategies,Lisa Phillips,lisa.phillips@parksidewealth.com,,
Jackson Portfolio Grp,Woodbury Financial Services,,,Helen Jackson|Steve Martin|Nancy Diaz,
Moore Cap Grp,Cetera Financial Group,Ron Moore,,,
Private Wlth Grp,Morgan Stanley Wealth Management,,,,"4525 Highland Ave, Chicago, IL 60601"
Private Client Grp,Robert W. Baird & Co.,"Thomas, Jessica",,,"3798 Main Ave, San Diego, CA 92101"
Liu Wlth Ptnrs,Cambridge Investment Research,Megan Johnson,,,
Scott Private Client Grp,DA Davidson & Co.,Dan Scott,,,"8811 Lincoln Way, Nashville, TN 37201"
Nguyen Portfolio Grp,Raymond James Financial Services,,,Linda Jones|Dan Adams,
Green Wlth Adv,Janney Montgomery Scott,Paul Green,pgreen@janney.com,Paul Green|David Turner,"3848 Maple Rd, Dallas, TX 75201"
Roberts Tax & Wlth Grp,Merrill Lynch Pierce Fenner & Smith,"Roberts, Chris",,Chris Roberts|Sandra Cruz,
& Roberts Ptnrs,Cambridge Investment Research,,,Jason Wilson|Matt Wang|Jeff Smith|Tim Green|Ron Mitchell|Jeff Scott,"8256 Highland Ave, Denver, CO 80201"
Parker Tax & Wlth Grp,Stifel Nicolaus & Company,Tim Flores,,Tim Flores,"8752 Oak Pkwy, Baltimore, MD 21201"
Anderson Wlth,Highfield Asset Management,Patricia Young,patricia.young@highfieldam.com,Patricia Young,"6113 Elm Court, Miami, FL 33101"
Torres Private Wlth Grp,DA Davidson & Co.,"Cruz, Lisa",,Lisa Cruz|Andy Allen,"5637 Lake Court, St. Louis, MO 63101"
Martin Adv Grp,Commonwealth Financial Network,,,Dorothy Taylor|Barbara Lee|Bob Kim|Dorothy Yang|Amanda Zhang|Linda Brown|Lisa Smith|Karen Williams,"136 Lincoln Dr, Kansas City, MO 64101"
Private Wlth Grp,Cetera Financial Group,Amanda Zhang,,Amanda Zhang|Jim Moore|Steve White|Patricia Hill|Jim Wright,"8768 Elm Ln, Denver, CO 80201"
Torres Asset Mgmt Grp,Hilliard Lyons,"Baker, Kev",kbaker@hl.com,Kev Baker|Tom Scott|Jeff Green|Tim Thomas|Ryan Phillips|Rick Yang,
Wilson Asset Mgmt Grp,Janney Montgomery Scott,Ed Collins,,,"6998 Spring St, Kansas City, MO 64101"
Carter Fin Grp,Cetera Financial Group,Don Wilson,,Don Wilson|Nancy Wilson|Joe Miller|John Wilson|Charles Scott|Barbara Smith|Jacob Cruz|Ed Wang|Dorothy Green,
Cruz Retirement Solutions Grp,Stifel Nicolaus & Company,Charles Allen,callen@stifel.com,Charles Allen|Ryan Anderson,
Rivera Inv Grp,Raymond James Financial Services,,,Jason Rivera|George Lee,"4187 Cedar Rd, San Diego, CA 92101"
Patel Private Client Grp,Commonwealth Financial Network,,dorothy.allen@commonwealth.com,,"1788 Market Pkwy, Atlanta, GA 30301"
Green Ptnrs,Parkside Wealth Strategies,Margaret Liu,lium@parksidewealth.com,Margaret Liu|Mark White|Jennifer Green|Bob Liu,"3370 Oak Ln, Los Angeles, CA 90001"
Rivera Asset Mgmt Grp,Commonwealth Financial Network,"Campbell, Barbara",,,"946 Cedar Rd, Dallas, TX 75201"
Brown Institutional Grp,UBS Financial Services,Steve Wright,,Steve Wright|Rick Green|Dan Martin|Linda Torres|Joe Miller|Ken Moore|Barbara Anderson,"5369 River Way, Philadelphia, PA 19101"
Cruz Asset Mgmt,Ridgeway Wealth Management,Emily Jackson,emily.jackson@ridgewaywm.com,,
Wilson & Associates,Highfield Asset Management,"Huang, Sandra",,,"9960 Oak Pkwy, Chicago, IL 60601"
Mitchell Grp,Northgate Investment Partners,,khanm@northgateinv.com,,"2617 Elm Dr, New York, NY 10022"
Asset Mgmt Grp,Cetera Financial Group,,madams@cetera.com,Megan Adams|Ron Wilson|Andy Williams|Emily Brown|Linda Cruz,
Thomas Grp,Summit Peak Advisors,"Harris, Paul",,Paul Harris|Ashley Morris,
Nguyen Asset Mgmt Grp,Securities America,,,Kev Scott|Jim Liu|Andy Miller|John Khan,
Nelson Asset Mgmt,Parkside Wealth Strategies,,adamsr@parksidewealth.com,,"8702 River Dr, San Diego, CA 92101"
Williams Institutional Grp,Stifel Nicolaus & Company,,,Jim Baker|Brian Harris,"2527 Hill Blvd, Portland, OR 97201"
Mitchell Wlth,Clearwater Capital Group,"Mitchell, Tony",,,
Young Cap Grp,Cetera Financial Group,,,,
Gomez Wlth,Northgate Investment Partners,Megan Cruz,cruzm@northgateinv.com,,
Family Wlth Grp,Raymond James Financial Services,John Young,youngj@raymondjames.com,John Young|Dan Thomas|Tom Rivera,"7209 Elm Way, Austin, TX 78701"
Reyes Inv Grp,National Planning Holdings,Andy Cruz,,,
Hill Private Wlth Grp,Ameriprise Financial Services,,brian.hill@ampf.com,Brian Hill|John Davis,
Garcia Wlth Ptnrs,Stifel Nicolaus & Company,"Collins, David",,,
Zhang Grp,Clearwater Capital Group,,jphillips@clearwatercap.com,,"1492 Elm Way, Philadelphia, PA 19101"
Turner Asset Mgmt,Harborview Private Wealth,,,,
Moore Ptnrs,Clearwater Capital Group,Margaret Moore,mmoore@clearwatercap.com,,"3775 Lake Ln, New York, NY 10001"
Lee Wlth,Ridgeway Wealth Management,"Martin, Helen",,Helen Martin|Nancy Anderson,"8157 Cedar Dr, Phoenix, AZ 85001"
Yang Ptnrs,Parkside Wealth Strategies,Helen Taylor,helen.taylor@parksidewealth.com,,"2575 Madison Court, Phoenix, AZ 85001"
Allen & Rivera Adv,Ridgeway Wealth Management,Ed Allen,allene@ridgewaywm.com,Ed Allen|Karen Kim|Steve Khan|Tim Khan|Bill Patel|Jim Huang|Charles Morgan,
King Cap,Kingsbridge Capital Advisors,Sarah Torres,,Sarah Torres|Sarah Wilson|Dan Morgan|Jason Thomas|Helen Parker,
King Fin Grp,DA Davidson & Co.,,,Jeff Nelson|Tom Khan|Don Nguyen|Dorothy Garcia,"7044 Madison Pkwy, Seattle, WA 98101"
Hall Wlth Adv,Cetera Financial Group,,patelp@cetera.com,Patricia Patel|Tim Flores|Susan Roberts|Jacob Edwards,
White & Reyes Adv,Summit Peak Advisors,"White, Jeff",,Jeff White|Karen Carter,"1529 Willow St, San Antonio, TX 78201"
Wang Private Wlth Grp,Commonwealth Financial Network,,,Tom Brown|Andy Nelson|Charles Chen|Ed Young,"1076 Willow Pl, St. Louis, MO 63101"
Kim Family Office,Meridian Private Wealth,Emily Carter,,Emily Carter|Jeff Jackson|Jeff Cruz,
Reyes Wlth Mgmt Grp,Raymond James Financial Services,,edwardsj@raymondjames.com,Jason Edwards|Patricia Chen|Barbara Kim,"7058 Oak Ave, Austin, TX 78701"
Johnson Inv Grp,Woodbury Financial Services,"Johnson, Chris",,Chris Johnson|Margaret Moore|Ryan Anderson,
Flores Family Wlth Grp,Janney Montgomery Scott,,,Kev Martin|Brian Williams|Kev Harris|Andy Scott,"5626 Main Rd, San Francisco, CA 94101"
Anderson Wlth Adv,Woodbury Financial Services,Lisa Johnson,johnsonl@woodburyfs.com,,"2727 Lincoln Ln, New York, NY 10001"
Hill Inv Grp,UBS Financial Services,"Diaz, Mark",,Mark Diaz|Nancy Taylor|Karen Diaz|Matt Jones|Andy Jones,
& Young Ptnrs,Wells Fargo Advisors,,bill.torres@wellsfargoadv.com,,"5596 Lake Rd, New York, NY 10001"
